,author,home_url,helpful,funny,appraise,played_hour,post_month,post_day,games,reply,image,review
0,Tamaster,https://steamcommunity.com/id/tho545454/,"3,786",46,1,81.6,February,25,917,70,1,"Hogwarts Legacy takes place in the iconic Wizarding World setting created by J.K. Rowling, at a time far before Harry & friends were even born. You’ll play as a fifth year student in the titular magics academy, admitted this late because of unspecified ‘special circumstances’. The virtual rendition of Rowling’s works is nothing short of exceptional, with not only Hogwarts itself, but also its environs (like the town of Hogsmeade or the dangerous Forbidden Forest), all recreated faithfully and down to the most minute details. Of course, some things will differ from movies and books, with the game being set in the 1800s. The main story follows the classic ‘manifest destiny’ archetype, where your custom-made character will discover hidden potential that ties them to a greater purpose. Despite some genuinely memorable characters and some interesting side- and main-quests, the overall narrative can’t help but fall a little flat and stale, especially towards the ending phases. Nonetheless, many enjoyable adventures await you. Notably, there are no romance or love/hate dichotomies in the relationships you have with side-characters, as your choices will always end up in pretty much the same results during questlines.The world is vast and visually magnificent, peppered to no-end with points of interest that often hold collectibles, currency or other utilities. Initially on foot, and later on with the iconic enchanted brooms and even flying magical creatures, you’ll be able to explore at leisure and clear the enormous amount of side-activities. A good portion of these, however, will prove inaccessible until you gain the right spells or abilities, in a sort-of ‘metroidvania’ fashion that promotes meaningful backtracking. Fast travel and an item-highlighting spell prove invaluable in saving time while exploring. Collectibles are mostly cosmetic, enabling the customization of both your wizard and your own private room once you unlock it, to suit various styles. Most dungeons and locations have additional puzzles or hidden paths that often lead to collectibles or extra resources; exploration feels rewarding, with a genuine sense of mystery surrounding each new point of interest you’ll find. Despite that, most dungeons and locations play out in the same way, and become repetitive in the long haul.Magical battles use spells as sole means of offense and defense. Usually against multiple enemies at once, sometimes supported by allied NPCs, you’ll have to time your protection spell right in order to deflect incoming attacks, or dodge-roll away in case of unblockable ones. Enemies are varied and range from magical creatures to dark wizards and goblin soldiers, to name a few. Some of them may be weak to specific charms, others have shields you can break by using specific spell categories (damage, utility, movement) or other special abilities, like immunity to certain effects. Combat feels engaging, well-paced and is more than a little gory for this universe’s standards, death will be far more common than in the movies or books. The way you can combine spell effects to your advantage and use the environment further adds to the base system, while the amount of passive upgrades with item traits and spell-related talents you can gain progressively add another layer of depth. In late-game however you’ll become overpowered between potions, passive traits, talents and endgame spells - so much that supposedly fearsome dark wizards will prove little more than a nuisance due to power creep.Quests usually involve retrieving something, talking to a specific NPC, solving a treasure hunt based on visual clues, getting the solution to logic-based puzzles and more, depending on the case. While some side-quests are unique and memorable, most will be fetch chores or dry open-world shenanigans that you’ll have to repeat over and over in the same fashion. Less, but more meaningful and unique quests would have been better than this bloat, for sure. Challenges are paramount in unlocking unique bonuses like increased inventory capacity, many cosmetics, and even unique passive upgrades to equip in gear pieces. They often require you to slay X of a specific enemy, finish X of the same activity, and such “long-term” goals. Some of them are a massive grind and will only give you the 25th pair of gloves you don’t need, or other cosmetics that aren’t worth the effort."
1,cum,https://steamcommunity.com/id/BaccaBoy1999/,"1,231",15,1,109.8,February,19,93,0,1,"take your time on the story mode cuz when you finish it it makes doing 100% of the game very boring. do a mission, then just explore and roam the world."
2,inferior biological entity,https://steamcommunity.com/profiles/76561197969670214/,"2,606","1,291",1,48.4,February,13,153,0,1,Deek thinks you should be proud of all the potions you’ve brewed.
3,Kylinroo,https://steamcommunity.com/id/kylinroo/,"6,217",789,1,57.4,February,11,41,0,1,You can pet every single cat
4,REPUNTE,https://steamcommunity.com/profiles/76561198290120667/,"2,327",692,1,22.8,February,12,63,26,1,"Shadow wizard money gang, we love casting spells"
5,▮ NO FILE,https://steamcommunity.com/id/Yonaga/,"6,625",120,1,89.3,February,10,"2,758",144,1,"Sometimes games are getting released with way too much hype. Forspoken, as an example, would be such a game. Either is it because of bad optimization or misinformation by the studio, the disappointment can end up being immeasurable for people who already pre-ordered these games, or people who have those games on their wishlist for months. Sadly, we had a lot of those lately. Don't even get me started with license games in general....Hogwarts Legacy, on the other hand, shows that sometimes the hype train can be true.I don't usually pre-order games anymore, but the premise of being the best game based on the fantastic world of ""Harry Potter"" made me buy it in an instant.The following review won't contain any spoilers! I also want to mention that I am not even close to the end of the game, because I have way too much fun exploring.So far so good. It starts off with a generic ""You are the chosen one!"" scenario, but it is going to get better and better the further you go. You just have to trust me on this one, because I don't want to give away too many information. All I can say is that the story fits the HP universe very well. If this game would be a book I wouldn't be able to stop reading it until the very end.Overwhelming, would be the right word. There are so many mechanics in this game it is amazing and exhausting at the same time.First off you have the exploration part, where you can move around freely and explore every inch of Hogwarts and its surroundings. I tell you there is a lot to discover and to collect. Mysteries that need to be solved, locks that need to be picked and information about special places that need to be gathered. The amount of collectibles are insane and you will most likely spent hours over hours getting everything to 100%. The puzzles you can find are very well-made and solving them is fun.Then you have your main quests and side quests. I really love the side quests in this one, because they involve your fellow students. You learn to know them a bit better every time and the most of the quests are very creative.Also: You don't get exp by fighting enemies! You get exp by discovering new locations, doing mini games or other things like that.If you want to get from one point of the map to the other, you can also use the ""Floo powder"" fast travel service, or use your good old broom! I prefer the last one. It just feels great to fly around and enjoy the world. It might even sometimes happens that I just fly around aimlessly just for fun.  Decorating, Crafting and Fantastic Beasts are going to be part of the game as well. But it would be way too spoilery to mention anything more! What would be a wizard/witch without a magical wand. Most of the time you might be using it for puzzles, lighten up the area or scanning your surroundings, but the further you go the stronger enemies you have to face. Good that you start to learn attack and defense spells very soon. There might just be a handful of them, but the key is that you can combine them. Hit an enemy with 3 basic spells, pull it towards you, hit 3 more times, set it in flames, push it back and hit it ones again. Different combos cause different effects, combining them makes them stronger. You learn those combos as well, but you are also free to experiment on your own. Fighting the enemies also never gets old. Some of them might have shields and you need the right spells to break through them and others can only be dealt with when they get attacked by fire. For your defense you can also use a shield spell or dodge roll out of the danger zone. It should be clear that you can't really deflect a power attack by a troll. It has something of a Souls-Like, because it also comes with a parry button and more.The further you go the further you can upgrade your spells as well, for extra effects and power.As a sidenote: You also don't need to fight most of the time, if you don't want to. There is always the option to sneak past enemies, or silently stun them.There is not that much RPG in this game as I hoped it would be (And this is my only negative point.). I feel like that you don't really can control most quest/story outcomes. In dialogues you can be mean or friendly, but there is not as much difference in both as I wished it would be. You might get more Gold out of a quest by asking for a better reward or by blackmailing, but that also doesn't fit your overall appearance during cut scenes. I mean you can create your own character and choose the house you want to join and also have a skill tree, but thats about it.I just want to throw in that the voice actors are doing and amazing work! Just wow!  Hogwarts alone is gigantic and it feels amazing to get lost in all those beautifully handcrafted and unique halls, rooms and dungeons. The living paintings, the ghosts and the students running around in the halls is so atmospheric. The neighboring villages and landmarks do the same trick. You maybe want to walk all the way to Hogsmeade and drink Butter beer, just to lose yourself in that weird looking, but fascinating architecture of the buildings. Don't even get me started with the Forbidden Forest and other locations, you would be able to recognize from the movies and books.I play this game on a mix of medium to low, on my I7 4790 and my 1060 6 GB and the game still looks amazing. As a passionate screenarcher (screenshoter) I won't be able to make any good screenshots in the game, but just for playing it is more than enough. The fps are stable and I never noticed any pop-ins or any texture loading. The Unreal Engine 4 does a wonderful job and just shows how good it can still be (Compared to UE5)!Simply magical!I also love that they mix new composed songs with the soundtrack from the movies. It just feels right!"
6,Father Ezekiel,https://steamcommunity.com/profiles/76561199025259580/,"1,599",31,1,37.6,February,11,46,0,1,only thing wrong with the game is no quidditch really hoping for a dlc just for it.
7,Davy Jones,https://steamcommunity.com/profiles/76561198111425467/,"5,423",172,1,110.6,February,10,242,8,1,"FINALLY something that isn't a half-baked, live service, micro-transaction infested disaster at launch."
8,Rod827,https://steamcommunity.com/profiles/76561198968852151/,"2,149",422,1,16.8,February,14,88,0,1,Professor Garlick. Nuff said.
9,Kujar3,https://steamcommunity.com/id/Kujar3Player/,"1,067",19,1,58.8,February,13,"1,551",18,1,"I could gush about this forever. The world is so well crafted and there was so much love put into it, it's kind of absurd. You start off in the castle, it's bloody massive, very faithful to the template you know, it's clear they tried their best to do a 1:1 replica. Walking through the halls and rooms in ecstatic, never did I feel that exploration is in any way forced, I was encouraged to explore and I have yet to properly utilize fast travel, it just doesn't get old and I still keep bumping into corridors that eluded me, still finding new things. And that's JUST the castle, the moment you look past the castle and take in the sheer scope of the world, it is possitively jaw dropping. The world is ginormous and the developers found clever things to sprinkle everywhere you go. Every now and then you bump into a small village out there, each one is different and again, very detailed and even tho they keep the same aesthetic, it never felt like exploring more of the same. It is honestly kind of overwhelming how much there is to find and play around with, this is a real work of art that even if you do not fancy the world of Harry Potter, should give you plenty of enjoyement to travel through.I jumped in on Hard difficulty as I was seeking some challenge out of this, however not much challenge is really provided. I keep being capped on my healing potions, rarely having to reach out for them. There are moments that test you certainly, large group of enemies are fun to tackle and the higher difficulty does not allow you to make many mistakes. Combat is satisfying, you generally play with a selection of 4 main spells you chose, from what you have learned, but you're not limited to them. You get up to 4 spell tabs for a total of 16 spells at the ready that you can switch between during combat at will. You'll learn combos of spells that work well together and swinging your wand around will feel really good. Enemies attack back with attacks you can protect against and ones you can only dodge, always visually apparent by a different colored circle around your head, it's a simple nuance but you'll trip up here and there, game doesn't make you feel invincible. Enemy variety could be larger, but it's not absolutely terrible, what's a bit of a shame is that you rarely battle more than 1 enemy type at the same time, maybe that's something that will be happening more later on, I can imagine that could spice up combat a bit. Every enemy type has some kind of weakness for you to discover and you'll be keeping mental notes.Beyond your spell selection, there is not really much else you can do to build your character differently, all gear slots are basically stat sticks that you can eventually augment a bit for specific situations but I feel like it's nothing too significant. Still they made the best out of what they had, maybe gearing being more casual was the goal here.The story is intriguing but nothing ground breaking, so far it stands on its own pretty well, without spoiling as this is in the opening scenes, you learn that your character can see traces of ancient magic which leads you on a path to pursue this calling, but there's a faction of goblins and their leader who are after the same thing, the knowledge of great magic that's only rumored to exist, very few people in the past knew of its existence and could wield it. The game presents sense of urgency while also intentionally slowing you down, but you can argue it is doing so for you to slowly master this magic and uncover the whole truth so I give it a pass. As for sidequesting, you have the usual fetch quests most of the time, that are made interesting by the possibilities a world like this can present. I never felt annoyed doing a side quest that was simply ""deliver"" or ""find and bring"" as it pointed me to places to discover, this is very much carried by the setting and the amazing world. Some side quests are more convoluted and eventually lead you to what could be described as collectible chains. The game slowly introduces collectibles and series of puzzles for you to complete through side quests and it kind of feels natural. The only time I wasn't happy with this was when the unlocking spell ""alohomora"" was locked behind one of those, multiple tiers of it even, as someone who wants to unlock every door, I felt forced to go on collectible hunting but in the end, again, I was happy doing so as it led me places... Did I mention exploration is fun yet?Flying! My god, getting your first broom and taking to the skies feels surreal. You could fast travel, sure, but why would you when you can fly? Game places very few restrictions on where you can and can't fly, practically the whole world is traversable on a mount, it's amazing.Room of Requirement. If you like creating your own space or ever found yourself lost in building a house in The Sims, this will be right up your alley, everything is customizable and by exploring you will find more items to place down,, but this feature got overshadowed for me by taking care of your own beasts. I damn nearly cried grooming and feeding the creatures, it's so adorable, I could spend hours just watching them in the space you get for them, this is my single most favorite feature.Beast catching. You have to catch your beasts so better go out there hunting, many types of beasts to catch and bring home out there in the world. Some are easy to catch, some harder, always having to find the best approach, it's honestly fun.Reputation system, honestly, the game allows you to cast unforgivable curses and nobody seems to care you do so. You can fling avada kedavra next to dozens of witnesses and most you may get is a couple of comments. I wish there were some drawbacks, if not in ""reputation"" then at least visually, think Mass Effect 2 where Shepard would look more scarred the more evil you'd be. I'd take anything.Points system, it's Hogwards, part of it is winning points for your house and while during some quests you get the ""points to *your house here*"" comment, it isn't reflected anywhere. There's virtually no rivalry between the houses as a result.Quidditch, please... The game comes up with an excuse to not have it but man, what a shame.And lastly, I would like to see some deeper relationship feature, building friendship with some important characters, outside of main quests. Doing things for them and maybe being able to take them with you on your exploratory adventures. When I think Harry Potter, I also think of the friendship the main group had going for them, it sometimes feels a bit lonely in this giant world.Performance is rocky, the game drops frames unexplainably, in cutscenes and in a few areas, this is something that can be fixed with patches so hopefully it'll improve.Voice pitch? Don't even bother, leave it on the default spot when creating your character. It makes your voice robotic, echoey and just plain weird. Been resolved, you now get 10 character slots.This game makes me feel like a kid again, I don't remember the last time I was this happy and eager to explore a world, this is coming from someone who grew up on HP, this is all practically a wet dream made real. I am overjoyed the be part of all this and despite knowing this could be a much better game, both improved in what it offers and in some of the glaring issue it has, I can overlook it because so much of this game has been crafted with a lot of love. Bravo, loving every second of it."
