,author,home_url,helpful,funny,appraise,played_hour,post_month,post_day,games,reply,image,review
0,Venom™,https://steamcommunity.com/id/Amir23189/,"1,908",97,1,12.5,March,"20,",742,0,1,I brought this game years ago but Thank you Square Enix for free giveaways.Stay safe everyone.
1,Trader Tiny,https://steamcommunity.com/id/TraderTiny/,170,2,1,10.3,July,"5,",466,0,1,"Incredible game that was ahead of it's time and brought parkour, combat, and single player all together perfectly. I highly recommend this game, it had no flaws and despite it coming out in 2013 it was easily one of my favorite single player games I have ever played. Definitely worth the price with or without the sale."
2,Spinda,https://steamcommunity.com/id/SpindaBH/,858,34,1,"1,499.0",June,"18,",50,18,1,"I'm playing Tomb Raider 2013 since 2014 and I like this game, specially the multiplayer mode.Bu there is some bad points, they didn't put any anti-cheat, this game is full of cheater, it makes players bored about that and day after day the game dies. Good campaign mode, the story is very nice. Good graphisms for a 2013 game. Sorry for my bad english speaking o:"
3,Artemis,https://steamcommunity.com/id/ArtemisDergon/,167,4,1,11.5,June,"18,",196,4,1,"This is going to be a really long review, so I'm just going to start off with an overview of the whole game. For, one I really enjoyed playing it because of its unique playstyle and interesting storyline. This game kept me engaged the whole time and even though I finished the main storyline, I feel like there is sitll more for me to do. And one last thing, I won't be reviewing Multiplayer here, since I haven't played multiplayer yet.The storyline is definitely a strong point of this game. Rather than giving you evrything from the start, you get thrown into an unknown world with little known about the end of the game and the path that leads to it. You find out more progressively as you search and discover ruins to find ancient relics that give more clues about the past. However, you don't have to explore each area to its fullest potential the first time you enter the game, you can also come back to areas with fast travel (except for at the very end towards the conclusion of the game). The tombs you can raid are also kind of like side quests and the relics that you can find, both inside the tombs and around the map give you insight into the area and the main story. There are also several cut scenes that add onto the story and I thought the experience was a lot more directed than a game such as Skyrim, but it still provides a large amount of freedom.Speaking of freedom and your ability to enjoy the world around you, I feel like this feeds perfectly into another aspect of the game. One of the most important parts of the modern game is the graphics engine with which it runs, as well as how it is exploited to provide the best experience. Though this Tomb Raider is undoubtedly older than what one would consider modern, I still find that it does a good job with shaders and keeping the world immersive. And though the textures, normals maps, and hair physics may not be the best I have ever seen, they are still very good. The cinematic cutscenes feel actually cinematic and everything seems to be smoothed out with animations which makes the experience itself a lot more enjoyable. I also really enjoyed how this game had well worked out levels, beautiful scenery, and a in fact a partially open world experience. Though some levels will collapse, break, and change once you go through them, other parts of the island are simply very enjoyable slow-paced worlds than can be explored once the game is over, which brings to my next point.Last, but not least I want to talk about gameplay (please keep in mind this review is directed at those interested in Tomb Raider for the single player experience). The gameplay was fluid and interseting. You have the parkour notion which is one of the biggest parts of the Tomb Raider series. This part doesn't seem to be too difficult in this game, but it certainly isn't easy either. Another portion is the shooter portion where a bunch of guys try to murder you and you protect yourself (because you don't want to die). However, the main part about this game in particular that I like, is that there isn't just one way to go about all this. Somtimes you can be sneaky and try and get around without being seen, or take out any guards before the sound an alarm. Another way is to just run into battle (which I wouldn't recommend). There are so many ways to make your way through the levels. And even though combat was for the most part repetetive, there were some new enemies introduced as the game proceeded, which made the game a bit harder, though not that much harder. The game also introduced new elements to the game as it proceeded which made the experience a bit more dynamic. However, every now and again, the game struggeled a bit with finding where to place the camera, and it gave me some confusing moments. Other times Lara (the main character) would not grab on to the zip line (and thus fall to her death). But other than that I don't really have any complaints.Should you buy this game? Yes, it will provide you with a great deal of fun, and you will definitely enjoy the experience."
4,The Sightless Swordsman,https://steamcommunity.com/id/TheSightlessSwordsman/,163,1,1,77.7,July,"21,",153,3,1,"While I've seen many people who disagree, I think this game is magnificent.  The story, the characters, the gameplay, it all goes together very well.  While I have not played any of the older Tomb Raider games for any extended period of time, I can tell that one difference is that in this, Lara seems more human insofar as she actually has emotions.  There are tons and tons of games where the character you play as just seems to lack emotions in many cases, most often combat situations.  They just go and kill the enemies like it's an everyday thing for everyone.  I've seen people say things along the lines of Lara being 'whiney', but I disagree.  She was just a regular person, and never went through anything outstandingly terrible at the beginning of this game.  What would you do if you were thrown into this situation?  You would probably freak out, and she did, making her character be realistic.  My one complaint is that sometimes it seems like half of her dialogue is some kind of grunt or scream.  Yes, again it is kind of realistic because you and I would likely be grunting and screaming as much as we are talking, but still.  Some of it seems much more high pitched and girly than necessary.I've seen people say that Lara takes too much punishment to be able to walk and run around.  Yes, this is true, but think of it this way.  She is in a survival situation, the adrenaline would help keep her going.  Besides, what fun would a game like this be if it were 100% realistic?  You get shot once and you're dead?  Boring and frustrating.  She got impaled through the abdomen at the beginning, you want her limping around slowly through the whole game?  Again, boring and frustrating.  Although it can be said that they could have skipped the injury entirely, it actually does contribute towards the game, showing that she initially does have at least an above average pain tolerance, still being able to climb around when necessary while still showing obvious signs of more than just a little bit of pain from the injury.Now, the story?  Well, it's hard to go into detail of why I like it so much, so I'll put it simply.  I've played through the whole game twice the first three days I had it, and now I'm going in for a 3rd time just because I love it so much.  Enough said?Also, graphics?  There's a graphics option just for the quality of Lara's hair.   I think that speaks for itself.  It also absolutely KILLS my framerate when I turn it on, too.  My PC is decently powered too, frames are really smooth otherwise."
5,bUm805,https://steamcommunity.com/id/bUm805/,130,,1,14.0,December,"14,","10,452",1,1,"Used to play Tomb raider back in the day and got bored after the third one. But after watching the trailer for this game, I decided to pick it up and jumped into it.Well, that jump turned into a 10,000mph dive and I was hooked. HOOKED I SAY.Although I usually hate rail games, this remake is fantastic and I highly recommend you pick it up.Regardless if you pay full price (currently $14.99) or pick it up on sale, you will not regret it."
6,Gusmanbro,https://steamcommunity.com/id/gusmanbro/,277,17,1,8.2,June,"23,",231,6,1,"I bought this game during the 2017 Summer sale..... and I beat it the day I got it. This is probably one of the best games i've ever played, and i've beat a good few. I would recommend to anyone looking for a new game. It took about 8 hours to beat, so it was an alright length.(and it was only $5??)Edited for fall 2017 badge"
7,Croft,https://steamcommunity.com/id/SergiFire/,314,21,1,31.5,July,"30,",531,11,1,"Review made by a huge Tomb-Raider fan. This is the reborn, the first story of our favourite adventurous girl in the world. The game has a lot of good and bad aspects, ✓  if you are planning to buy both  and  I would play this first as you are gonna find several references to Yamatai and Lara's friends in them. It's not necessary at all to play this game to understand future Tomb Raiders, although the experience is way better if you read all the documents you find on the island.✓  one of the most visible changes for all the players;  with a beautiful enviroment, great lighting and character models. We cannot forget the  mode which allows you to make Lara's hair more realistic and beautiful (back in 2013 this was something incredible)✓  you can jump, run, tumble... Map design is cool as it allows you to explore the whole area✓  you have hours of entertainment in front of you... Did you just finish the game? No problem! Now you can try to obtain all the achievements, hidden tombs, upgrade all your guns... However, as you have no elections during the story nothing will change if you replay it✓  sometimes it feels like  because of the brutal killing animations with both your pickaxe and bow. You can also crush your skull against a rock (which looks painful)✓  hit an run. Use your bow (it feels  to use it) and go Arthemis-like all around the map, or just make everything explode with your shotgun. The game offers upgrades so you can make them deadlier, which feels nice and is actually very useful✓  possibly the best feature of the game. You are probably going to fall in love with Lara because you'll see her origins. If you are a TR fan or if you have played old Tomb Raider games it's worth to mention that this story is ""not going to make any sense"" because it has nothing to do with them as"
8,❤ Lusty ❤,https://steamcommunity.com/id/Envy_Me_1_Forever_Till_Death/,957,2,1,23.1,December,"2,","1,161",26,1,"Do you remember Lara Croft? That femme fatale from a certain adventure series? You know, the buxom beauty that has a starring role in nine games, two films, and countless other media? She's the one with Barbie's warped proportions, Batman's agility and cunning, and whose confidence and grit are as palpable as her impressive dimensions? If you do remember, then you certainly haven't played the latest Tomb Raider series reboot by Crystal Dynamics. After playing this game, you will have forgotten everything you know about the old Lara Croft.This new and younger Lara is vulnerable and uncertain of herself. She cries and shows genuine sorrow when she loses a friend. She laments killing animals that she hunts for sustenance. Her every physical action painfully reflects her lack of experience, her desperation and dread at the seemingly insurmountable odds laid before her. Yet she perseveres through her story, dealing with the physical pain and emotional anguish, and grows all the better for it. Lara goes on a tremendous journey, and takes us right along for the ride.The story kept me interested throughout, action was pretty intense and didn't feel over the top or overused. I really liked the character development of Lara and her progression towards becoming that bad ass chick from the original games. I noticed some people complained about narrative and story not making sense, noticeably during scenes of Lara being upset and all of a sudden on a so called 'killing spree', I felt that the developers did as a furthering of character development in such a way so that Lara had to always be on her toes so to speak. Those reviews seemed to have a bias or an unwanting/not caring to understand Lara's journey so don't let them put you off. Graphically a beautiful game to witness, I had to slow down at times just to catch some cool shots of the island in its various weather conditions. Cinematic scenes, just wow tbh. The use of weapons was well integrated into game play and non seemed unnecessary, the bow is one of the most satisfying weapons I've used in recent games and it almost feels wrong when not using it.To sum it up, just buy it. It offers an enjoyable experience regardless of whether you're familiar with the older Tomb Raider titles."
9,Murphy's Lawyer,https://steamcommunity.com/id/murphyslawyer87/,449,35,1,34.7,September,"11,","1,122",10,1,"(Full review follows below) is absolutely one of the most enjoyable games I have ever played.  The single player campaign mixes in a myriad of well-crafted elements to create what I personally would define as a 10/10 gaming experience.  There is also a multiplayer mode, which actually has the potential to be fun; unfortunately it has nearly no community, and many of those who do play: cheat (driving away potential new players).  Nevertheless, the game is a total gem for its single player campaign alone.  I would recommend this to anyone who likes playing great single-player video games, regardless of their usual preference in genres.The graphics and animations are absolutely stunning, and the soundscape is enthralling and AAA quality.  This is the kind of game that makes it worth having an expensive/powerful GPU.  Drawing from the gorgeous graphics and animations, the game is a heavily cinematographic experience.  This takes the form of both longer, elaborate cutscenes; as well as short, little camera cuts that are integrated right into the gameplay as you explore.  This is all reinforced by an interesting narrative that is well told, with excellent voice acting to back it up.  It is the kind of game that definitely feels like an interactive movie.The gameplay mechanics and the gameplay itself are also a delicious blend of tasty ingredients.  There are many interesting and atmospheric areas to explore throughout the game, with various collectibles to find (many of which elaborate on background stories).  There are “puzzles” to solve ( classic Tomb Raider games) and there are secrets to discover.  Besides exploring, the combat/action sequences are also quite fun.  Headshots, finishers, explosive barrels—all the necessities are there.  And as the game progresses you get new weapons and weapon upgrades as well, which spice up the combat scenarios.  There are also high adrenaline “escape” scenes, where you are trying to escape a collapsing bridge, or burning building.  Mixed into all of this, and again drawing on the cinematographic experience, there is also just the right amount of quick-time-events littered throughout the game.The game runs on a checkpoint system.  I will always prefer manual saving/quick saving in PC games, but the checkpoint system in this is pretty flawless.  Collectibles save instantly, so if you die you don’t have to recollect them.  Also the checkpoints are extremely common; so if you are learning how to win a fight, you basically always restart right at the part you messed up.  There is also a decent fast-travel network, so you can return to gather collectibles at any time (including after beating the campaign).Lastly, as I alluded to, there is also a multiplayer mode separate from the campaign.  I have played it a bit and can honestly say it has the potential to be pretty fun.  Unfortunately barely anyone plays it.  Although, like most games, it isn’t  dead; you will be able to find some people on here-and-there.  There is a high percentage of cheaters, though— which is also common for low-population multiplayer games.  In short, I wouldn’t count on the multiplayer mode adding any value to your overall experience of this game.So, in summary,  is an outstanding game, with several great features contributing to the experience.  It is an amazing blend of adventure and action with a strong narrative and beautiful aesthetics— a truly “top-shelf” game.  I recommend it to all gamers who enjoy great single-player experiences.   Even if this style of game isn’t usually in your wheelhouse, this is the kind of game that creates new fans of the genre."
10,AngryBoz68,https://steamcommunity.com/id/AngryBoz68/,308,,1,28.1,March,"9,",406,15,1,"As my first entry into the Tomb Raider franchise, I found this reboot a very well-crafted game.  It was very apparent to me that a lot of time and care was put into the making of this excellent game.The visual effects were stunning.  Cutscenes were directed very well and provided for a lot of great screen shot moments.  Character animations were realistic and played smoothly.The writing was done pretty well for an Origin story.  The plot mostly takes a survivor story spin with a small amount of adventure thrown in.  The story is linear, though once you get access to fast travel, you can go back and get collectibles you may have missed earlier.  The game took me roughly 20 hours to complete on normal difficulty settings.  Voice acting was also very good.  I really enjoyed seeing Lara starting out so green and inexperienced and then grow into the seasoned adventurer that she eventually becomes.  The game is very tough on the young Lara and I could not help but feel bad for the character as she gets battered and bruised repeatedly throughout the story.Combat takes a cover shooter approach.  The game does provide some small amount of stealth activities to take out enemies silently but few options exist to stealth past encounters entirely.  There is a simple progression system that allows Lara to aquire skills that improves combat and survival.  There is also a system that allows upgrading and improvements to weapons that Lara acquires throughout the game.  I found the progression to be extremely well-paced throughout the linear plotline, much like the Arkham series of games.  In addition to the shooting, there were a good number of well-placed QTE activities that mixed things up a little.  The maps were very nicely done and made full use of all dimensions to provide for lots of platforming opportunities.  The game auto-saved progress regularly and had very generous checkpointing so that you will not have to redo much at all after a death.I only had a couple of issues with the game overall...There were a few crashes as I played through the game.  Especially if I ALT-TAB frequently.  My system is well above the recommended specs but found that reducing settings helped a little with the sudden crashes.  The game still ran very smooth when my settings were maxed-out but those occasional crashes did get annoying.For an action/adventure type game, it was a bit heavy on the action and a little light on the adventure.  Not quite what I would normally expect from a genre that is heavily inspired by Indiana Jones.  Shooters are one of my favorite types of games but this one felt a little too ""shooty"" for my tastes.  I was not keeping a tally, but Lara would have claimed a body count the size of a small army by the time I completed the game.  Boss encounters were also very lacking.  I would have liked to have seen more tombs that had something to do other than simple physics-based puzzles to complete and ways to complete more sections of the game through stealthy non-lethal means.One other minor complaint are the death animations.  I already had a hard time seeing Lara put through some of the tortures of this adventure, but a few of the death animations were a little over-the-top.  Not sure if getting impaled through the face was really necessary after failing an action event.Overall I was very surprised and pleased by this game.  I am hoping that we will see further adventures for this rebooted series with the same attention to quality."
11,{EXILE}™GuitarSlayer,https://steamcommunity.com/id/guitarslayers/,303,27,1,64.7,March,"21,",479,0,1,FREE FREE TILL MONDAY. Get it while it last.
12,♠ Habib ♠,https://steamcommunity.com/id/Fuck_Iraq_Every_Day/,87,5,1,105.4,June,"27,",878,2,1,Awesome GraphicsGreat Voice ActingGreat StoryUpgradable Skills Upgradable WeaponsCan Explore Hidden TombsCan Go Back and Complete AchievementsMany Collectibles10/10 :>
13,DC-David,https://steamcommunity.com/id/godslove1218/,289,6,1,0.9,March,"21,",276,0,1,"Thank you so much for giving this game away for free right now.  It is much appreciated.  Hopefully, you are all staying safe as much as possible.  We are pretty much holding up at home at the moment since new cases of corona are popping up closer and closer to us.  So far, our town ""appears"" to be ok.  I pray it stays that way.  You all have fun playing this game and you and your family stay safe."
14,ρоѕιтяои_,https://steamcommunity.com/id/positron_/,81,4,1,33.9,March,"6,",647,9,1,"Tomb Raider is a action adventure game developed by Crystal Dynamics and published by Square Enix and Feral Interactive. This title follows the gritty origin story of Lara Croft and her ascent from a young woman to a hardened survivor as she must fight to unravel the dark history of a forgotten island in order to escape its relentless hold. Being quite the cinematic experience from start to finish, this title quickly pulls you into a fantastic adventure and simply will not let go which is what a truly great game is able to accomplish with the right story, eyecatching graphics and edge of the seat action. Along the way you'll also get the opportunity to explore many tombs and solve some challenging puzzles as well. However, during the course of the game this title did make me cringe alot because this young lady manages to take quite the punishment from all manner of falls, injuries and combat yet despite these horrible events it was very inspirational to see her persevere through it all and emerge such a strong and confident female. This is a truly great origin story that will set the pace for what will no doubt be an excellent continuation of the Tomb Raider franchise.Graphically, this game is such a stunning showcase of visuals. Even though this title came out in 2013, on ultra settings one could easily mistake this for a ""next generation"" game as it's that gorgeous. The CG and rendering is amazing. The lighting is simply spectacular whether you're scaling the cliffside of some random mountain at high noon or quietly walking around a darkened tomb with a torch. Also, each area of the island is varied and has a uniqueness of it's own. This is definitely not one of those games that uses recycled environments...yes I'm talking to you Dragon Age II. One of my favorite things about the visuals in this title is the fantastic attention to detail and immersion that Crystal Dynamics took. For example, when Lara walks through a forest the shrubbery and foliage moves apart as she trudges through it. You can also hear twigs and leaves snap and rustle as you step on them it's simply brilliant. The game also does a fantastic job of seamlessly blending transition sequences and quick time events into the gameplay. There are no loading screens unless you're entering or exiting the game which is a very nice touch and really shows the amount of polish that Crystal Dynamics put on this title.The musical score and sound effects in this game are also exceptionally done. Jason Graves does a fantastic job with the soundtrack appropriately scoring action sequences, tomb raiding as well as dramatic moments of shock and awe which are quite abundant in this game. That ""attention to detail"" that I mentioned before about the graphics in this title definitely extends to the sound quality as well.  I've been a fan of the Tomb Raider franchise since the very beginning so when the series was due for a reboot I was very excited and rightly so because this is just an amazing title. I originally preordered this game and started playing at release a few years ago but, I'm sorry to say, a few hours into the game I ran into a big problem with the prompts not showing up during the quicktime events which was extremely annoying at the time...I believe I punched two maybe three babies I can't say for sure?! Crystal Dynamics eventually fixed the issue but before that happened I stopped playing and had moved on to something else but I can't believe that it has taken me this long to come back. With its gripping story, dazzling action and added multiplayer I'll no doubt be playing this game time and time again. There are also a multitude of achievements to seek which, if you're a gamer like me who loves to explore and find things, is a welcome addition to the gameplay. This title should be in everyones Steam library...highly recommended!!!"
15,DixieFlatline_01,https://steamcommunity.com/id/DixieFlatline_01/,257,,1,39.0,November,"21,",311,4,1,"Tomb Raider is a fun game that is really well made. It has outsdandingly fluid, cinematic, and rewarding third-person cover-based combat, and is set in a cool, mysterious environment that makes it feel like a sexier version of an Indiana Jones movie. In the end, the question of whether or not you should buy this game comes down to a few items:+ Do you care about the Tomb Raider IP in general? If so, then that’s a pretty obvious point in this game’s favor!+ Are you interested in gender politics in videogames? If yes, then this is a title you should probably play at some point, to form your own opinions on how Crystal Dynamics dealt with the Lara Croft reboot in a contemporary context.+ Do you like cinematic games with quicktime events? If yes, you’ll really like this one, but if no it’ll probably kinda piss you off.+ Do you love platforming and puzzle solving? If you do, then you may or may not be disappointed here. Tomb Raider's platforming is so cinematic yet automated that playing it is kinda like watching someone else play a puzzle platformer that looks like it’d be a lot of fun if they’d quit hogging the controller.+ Are you a fan of third-person cover-based combat with a touch of stealth? If yes, then you probably don’t want to miss this one. If not, then do not buy this game!+ Is it worth the money? Tomb Raider is fun, but will only take you about a weekend to beat, and it has little replay value. Buy it used if you have a console, wait for a sale on Steam if you have a PC.For a much more in-depth critique, please check out the full version of this review:It talks about the Lara Croft Reboot, Character Empowerment, Ludonarrative Dissonance, Design, Platforming, and Quick Time Events.If you like what you see, join our Steam group for updates!"
16,Cracktus Jack,https://steamcommunity.com/profiles/76561198030788488/,95,2,1,32.6,June,"5,",685,5,1,"is a 3rd Person Action Adventure. When the Endurance is grounded on the shores of an island while on an archaeological expedition, young Lara Croft must face the armed and dangerous inhabitants of the isle in order to save her friends while discovering the mystery that has been causing shipwrecks and airplane crashes for centuries.: This reboot of the franchise takes the game in a whole new direction where your young and naive character learns to survive against the harsh weather and homicidal community, all the while exploring the island. You train your skills with the experience points you amass from battle and from uncovering tombs and dozens of hidden collectibles, including relics and journals left from the earlier Yamatai Empire and other people who ended up on the island through the centuries. You also collect salvage and parts with which to craft and upgrade your various weapons. The story is pretty interesting in itself, you'll feel halfway between  and  through most of it. The platforming and environmental puzzle solving is optimized for a game controller, and the rest of the gameplay is ducking and shooting which seems pulled right out of the  series.: The interaction with the environment can break the immersion in subtle ways, from the climbable cliff sides that are exclusively located at way too convenient locations, to the fact that there usually is only one specific pre-determined way to solve puzzles or reach specific areas. Ammo is also too convenient: loot an enemy who was attacking you with a bow, and it just happens that the only ammo he has is the one for that machine gun you haven't reached full ammo capacity, yet. The more cinematic scenes are often resolved by a quicktime event involving timed or repetitive button pressing. A mere handful of side characters get any development, and there's nothing you can do to save those that will face a story-determined death.: ★★★★☆ - Next on your list!This game is much better than I expected it to be. It might not be genre-defining, but it's a franchise-changing success that convinced me to get my hands on . Fans of the original games beware: this one is very different. But if you never cared for the franchise before, you really should reconsider and give this iteration a try!—————————————————————————"
17,W=F.SCOSθ,https://steamcommunity.com/id/LOLPPPWW22211/,63,1,1,20.7,June,"9,",724,3,1,"This time reviewing a perfect rated game. First of all, I have completed overall 100% of this game (not by achievement side) means all collectibles, challenges and everything. So let's start.★ Gameplay ➜Tomb Raider is an Action, adventure,puzzle-solving third person game based on an open-world environment. There is only one map in this game and enough to explore the whole world. There is no mini-map. By its name, the game series should be more focused on searching for tombs, artifacts, relics, historical interest, puzzle, traps, etc. I was expecting that but it doesn't exist properly here. The thing is something different. First 80% of gameplay gonna be end by saving your friends and learning the survival tactics which makes this game more enjoyable but doesn't judge its name properly. But the developer arranged the whole trilogy successfully like the next sequel is going to be more tomb searching rather than learning survival tactics and the main protagonist of this game Lara Croft going to be a great adventurer and experienced.In this game, the gameplay is mainly focused on using environmental stuff properly, learn survival tactics against some crazy enemies and weak animals. So hunting is a part of this game but not so much enlarged. There are some RPG elements I have found. The skill tree was really good but expecting some more useful skills. Combat is based on weapons bow and cover as well as playing stealth is important to success in Lara's opinion. Bow, Weapon and it's customization is also great, you have to explore for parts which are really enjoyable. Here searching for collectibles is interesting because every time you have try something new, so never felt bored and reveals interesting information. Climbing is my favorite part in this game because it is not only restricted in 'W and Space' but also using equipment is also necessary as there are climbing-axe,rope ascender, rope arrow etc . Enemies are crazy, they do everything to get Lara. So every time searching for something new is required to survive their ambushes. Quick time event and close quarter combat were like an action movie. I think this part made this game famed. Besides insane fighting with enemies, there are some optional Tomb which is not so much puzzled in my opinion. Lara has got a great instinct, you have to use it to progress in this case. Using fire torch in dark caves thrilled me. There is no repetitive content so I never felt bored. But I have felt some lacking like there is no underwater part as Lara is on an island. There are no survivors without Lara and it's team so there is no side mission in this game. Lara can't climb trees etc.★Story ➜Story is really cool, some people suggested me to explore it's story. After completing the story, I am fully satisfied by story progression. Basically, Lara wanted to be an explorer and adventurer from her childhood, wanted to explore the beauty of this world. So as part of his dream, she was in a team traveling by ship intending to find the lost kingdom of Yamatai which is the Island of Japan. There is a famous archaeologist in that team but the whole team always listens to Lara as she has got good instincts. According to Lara's speech, they changed directions and their ship crashed by a dangerous storm. So they stuck on a mysterious island as there is no escape for dangerous weather and separated from teammates. Now the journey starts from here.The story was full of mystery and suspense, related to their whole team like a Hollywood movie.Story was large enough to enjoy.★★ Graphics, Optimization, Soundtrack and Miscellaneous ➠➠➠As a game of 2013 graphics designing was really cool. Design of Character, Environment, Jungle, Tree, details, texture, shadow, water, bloom, lens and flare, sky, cloud everything was fine. Not best but fine. The combination of shiny and stormy weather was amazing. Optimization was quite well. But I was expecting better sound quality and more music. Faced a lot of bugs like I have executed jumping upward but Lara jumps on right or left and dead. The animation and movement screen during the quick time event like escaping a collapsing cave was up to the mark. I was amazed by their story representation.★Multiplayer ➠So many don't know about the multiplayer of this game. Multiplayer is actually quite fun. It is totally PVP and has got a match instantly. Ping was Under 150 which means totally playable, PVP rewards are good, can be used in single player. Multiplayer of this game is also recommended if anyone wants to spend time.Personal Overall Rating -19/20As a Tomb Raider rating -6/10 (Less historical stuff and puzzles, more action,adventure and RPG)By the way, Lara is one of the greatest female thief in this world. Sorry for any mistakes If I made any"
18,Fenixx,https://steamcommunity.com/id/Mortimers/,93,45,1,22.1,March,"1,",64,0,1,"Tomb Raider is a fantastic game. This game goes from a bold and engaging story to a sense of adventure, action and emotion that pushes one to want to play some more.This game is able to display hair very beautifully with the new Pantene TressFX shampoo. It almost looks like each strand of Lara Croft's hair is moving with the rules of physics.If your down with killing hundreds of men with a compound bow and climbing mountains with your climbing axe, well then this game is for you."
19,⛧ M†ropele ⛧,https://steamcommunity.com/profiles/76561198142247081/,50,1,1,12.5,October,"1,",548,0,1,"This game has me amazed. It is beautiful in every step of its design, hectic, fast paced, clever and all around gorgeous. Gory when it has to be, dark and mysterious and action packed from minute one...Thanks Crystal Dynamics and Square Enix for this excellent game definitely recommended 8)"
20,DyeHardFan,https://steamcommunity.com/id/ianbadeer/,108,,1,18.8,December,"3,",244,1,1,"This review comes from someone with no previous exposure to previous Lara Croft games.The story and setup took me a moment to realize this was a prequel coming-of-age story, and not one where Lara already has all her skills developed. That said, it offers an interesting storyline for developing who Lara Croft becomes and provides some neat avenues for that to happen.The gameplay is reasonably fluid, climbing and navigating have their moments of frustration, but overall it's a positive experience. If you're into the cinema feel, this game is like living in a movie: the cutscenes are impressive, the lighting and textures are gorgeous and the whole feel is immersive. As Lara gets beaten and bruised throughout the game, you'll find yourself wishing for a reprieve for her, because the events just never let up.Achievement-wise, the collectables offer a little more backstory, and I was able to get them all in the first playthrough before finishing the game, so that earns props from me.The important factor, is it fun? Yes, you'll have a great time climbing and fighting throughout the game, but your experience is more limited to being along for the ride in Lara's story, rather than actual feeling like you're influencing anything she's doing.Overall, it's a solid adventure with a great cinematic feel, just don't expect too much control over it."
21,รкг๏๏ℓ๏๏รε,https://steamcommunity.com/profiles/76561198048587276/,280,165,1,35.4,October,"25,","1,436",5,1,"my entire life i have dreamed of a game where i could play as a dainty british girl getting tortured, slapped, killed in many gruesome ways, and who despite suffering from severe hypothermia, never wears anything more than her tank-top. I thoroughly enjoyed this game (this is the first TR game I’ve played so I can’t compare it with Lara’s previous outings) and, a few gripes aside. Visually, this game is very striking. It also has a pretty good AI and enjoyable combat. The voice acting is good, and the storyline, despite being conventional, is better than average. The mix of exploration, puzzle-solving, combat, and parkour-style platforming is well-balanced and satisfying and gives the game a much broader scope than most. A couple of the QTEs are ♥♥♥♥♥♥♥ annoying, but on the whole the set-pieces are well choreographed, impressively designed, and fun to complete. The save system is also a little frustrating, especially if you happen to mistime a jump halfway between checkpoints (sadly us PC gamers are used to this). Overall TOMB RAIDER is an impressive example of excellent game design and is immensely enjoyable to play."
22,PrinzEugen,https://steamcommunity.com/profiles/76561198030080447/,64,3,1,40.4,January,"23,","1,260",6,1,"This game is one of the most widely praised on Steam, currently sitting at an average rating of 95%, a figure that is all the more impressive since it is based on over 60,000 user reviews. I played it several years after its release in 2013, but even almost five years later, it still holds its own in almost every domain.I only touched briefly upon the earlier instalments in this series, so I won’t be comparing the reboot with the games that preceded it. And just like any game, a reboot, being a fresh start of a series, deserves to be judged on its own merits. In this case, those merits are abundant: I have seldom enjoyed an action adventure game as much as I did here. The story starts promising, with Lara Croft on a discovery towards an almost mythical archeologic place together with a fellow professor, a film crew and the ship’s crew. Things do go awfully wrong very soon, and the game tries to evoke how Lara evolves from your next-door archaeologist into a very tough survivor. Although this is a great concept, it’s not executed to perfection: Lara becomes a battle-hardened killer and an extremely tough survivor way too soon to be believable in any way. Still, I quickly felt a connection to Lara, mainly thanks to the impressive voice acting and some neat details like her “thought by the campfire” which come up now and then. The fact that she looks gorgeous, and far more realistic than in the earlier games, surely did play a role in this as well.Not that the game aims for realism in any other way: I’ve seldom seen a character survive falls from such heights, and even taking several bullets in a gunfight can’t get our heroine down. The story doesn’t entirely convince in the end: although it is expertly told, it ultimately suffers from too many clichés and foreseeable twists. But I doubt that the majority of the people playing a  game are really wanting a believable story. This game is all about fast-paced action scenes which get the adrenalin pumping and more relaxed exploration, looking for as much loot and collectibles as possible in order to upgrade your weapons (which look great) and to unlock new skills. The feeling of progression is definitely there, and since the enemies become tougher and more numerous, the game never becomes overtly easy despite Lara’s weapons and dirty tricks packing a lot of punch in the final stages of the game.The actual gameplay is very smooth and pleasant, both in the combat and in the pivotal exploring (climbing and sliding included) department. Playing with an Xbox 360 controller, Lara felt very responsive indeed. Graphically, this is still an impressive game, despite its age. The island off Japan’s coast comes to live vividly, thanks to some wide views over both ocean and land, and an abundant use of vertical space: climbs, rockfaces and hills feel for once almost real, not diminutive. There are enough options to suit everyone’s taste and the game ran extremely smoothly for me at 60-75fps on my mid-range pc (see my profile if you’re interested in the specs).I didn’t buy any of the dlc, since it is mostly geared towards the multiplayer element of the game, which seems dead by now (early 2018). So I cannot comment on that aspect of the game. Sadly, for those aiming for a perfect game achievements-wise, a fair amount of those can only be obtained through the multiplayer, so it would be almost impossible to get the game towards 100% anymore.In the end, this was a very pleasant gaming experience thanks to the highly polished state of the game, which executes a good overall plan almost to perfection. It didn’t go beyond that, however: the experience probably won’t stick in my memory, as I never felt truly emotionally involved or intellectually challenged. But there is nothing wrong with a game that just wants to be excellent entertainment, after all."
