,page_index,author,home_url,helpful,funny,appraise,played_hour,post_date,games,reply,image,image_link,review
0,1,Boiled Pepsi,https://steamcommunity.com/id/boiledpepsi/,"2,481","1,202",1,12.0,Posted: 23 February,313,0,1,https://avatars.cloudflare.steamstatic.com/113ae448dfb791ab99bbb6a8cc9e58a1ff5246e2.jpg,a refrigerator sexually harassed me about an hour into the game
1,1,Gue5t_Appearance,https://steamcommunity.com/profiles/76561198285683553/,"2,142",230,1,16.7,Posted: 21 February,112,0,1,https://avatars.cloudflare.steamstatic.com/79d3fe5839617eb83a9661071ed021dd56ac8a5b.jpg,"Wait...Hold on....they, they actually did it! Someone developed a game that's actually OPTIMIZED on launch? Surely this must be a dream......."
2,1,Tamaster,https://steamcommunity.com/id/tho545454/,"2,132",36,1,33.8,Posted: 13 March,919,51,1,https://avatars.cloudflare.steamstatic.com/0e6d01dedd8b5a966fa0808a22bdbaf8332dd085.jpg,"In an alternate timeline, the USSR has become a technological powerhouse after WW2, with breakthroughs in fields such as nanotechnology, AI and energy manipulation that far surpass those of our present-day world. Affirming itself as the leading world power, it builds the utopian symbol-city of Chelomey, and nears the launch of Kollektiv 2.0, a worldwide neural network merging man and machine to an unprecedented degree. Agent P-3, the protagonist, attends the ceremony, but things take a horribly wrong turn.The narrative shines the most in its indirect form, through the visual clues and remains from events transpired before, while it proves mediocre in both lore files, dialogues and cutscenes. The worst offender is your musclehead alter-ego, which not only has the intellectual capacity of a broken treadmill, but is also a ceaseless discharge of cringe, with puns and lines that make Leon from RE4 seem like Socrates. The events are predictable, moral dilemmas get sidetracked, and the classic rushed exposition dump near the end comes as the last nail in this atomic coffin.The world is divided between linear and open-world areas, the latter becoming available only several hours later. The sprawl of facilities, complexes and residential areas comprising the freely roamed, although a few may be inaccessible until a specific story point is reached. In both instances, minutely exploring with the aid of your Scanner tool to highlight loot and other important things, will be paramount to accumulate crafting supplies, blueprints and useful consumables, while also discovering files and secret areas from time to time. It’s satisfying and enjoyable to traverse the world by foot or car - no fast travel so make sure you search accurately. Save points are placed regularly, allowing you to use them unlimited times. The main difference between closed and open-world areas is the enemy presence, much more massive outside, featuring reinforcements and an alarm level system, although your foes can be temporarily disabled by destroying a certain facility.With firearms, improvised melee tools and polymer-based powers at his disposal, P-3 is a living arsenal. Your limited, upgradable inventory can hold a generous amount of ammo, weapons and consumables to keep you alive in a fight, while powers and abilities only have cooldowns, no other resource than time is required. Energy is used instead to power certain weapons, and is gained passively, with consumables or by striking foes in melee. A dodge system allows you to avoid melee and ranged hits, while defensive upgrades and medkits do the rest. Enemies range from simple humanoid bots to mechanical horrors with many weapons and moves, and dangerous mutants worthy of STALKER’s Zone. Mini and proper bosses are uncommon sights, giving you fights that won’t prove too tough especially later on, due to your arsenal becoming way too powerful, same for your skills, granting you simply too many advantages for these fights to be as ‘epic’ as they should be. Unless you get caught in an insta-kill QTE - those are crap.AI-powered fridges, sometimes considerably more horny than expected, will be at your service to craft all sorts of consumables, ammo and upgrade both your weapons and P-3’s abilities -provided you have the needed materials, blueprints and XP, all looted from the world and enemies. These upgrades will add secondary fire modes to guns, improve their stats, specialize them to damage other robots or organics, and upgrade all of your abilities to be stronger, faster, and last longer.In general, provided you loot thoroughly, you will never run out of anything and be in far excess of materials to make all the ammo, health kits and other stuff you may need. It has to be noted that scrapping weapons or abilities returns 100% of their materials, so that you can try different ones and spice up the gameplay, a good choice that however hinders the replay value, since you can “have it all” in the same playthrough this way.Both linear and open sections feature a generous quantity of puzzles, that range from logic-based locks, to timing sequences, beam redirections, and more than a few unique ones with their own mechanics. None of them is very complex, and they’re accessible even to those who aren’t familiar with the puzzle genre. Testing Grounds (dungeons) are the main secondary content, awarding unique upgrades for weapons and requiring some extra effort to unlock."
3,1,Matt_KLPS,https://steamcommunity.com/id/Matt_KLPS/,"2,398","1,476",1,39.7,Posted: 25 February,881,11,1,https://avatars.cloudflare.steamstatic.com/59ac09480333854df82c7d8c5816b20872267d05.jpg,"BRB, i'm going to the kitchen to f*ck the fridge"
4,1,D,https://steamcommunity.com/id/onionburgerbaby/,"2,209",955,1,35.9,Posted: 21 February,646,39,1,https://avatars.cloudflare.steamstatic.com/3a23eaada9f2ba82f0a6243ee5bdf5ca2dfb6695.jpg,Refrigerator Sexual Harassment Simulator 2023.
5,1,Psichofox,https://steamcommunity.com/profiles/76561198047614088/,550,23,1,19.9,Posted: 25 February,142,0,1,https://avatars.cloudflare.steamstatic.com/3df99949866361f5fa5210341a3d2fa4723dd940.jpg,"Definitely not what I expected. I thought this was gonna be some serious sci-fi hardcore survivor game based around a story, but instead got a sci-fi fever dream. Atomic Heart seems to take inspiration from a lot of familiar titles like Fallout for it's world design, a mix of Bioshock and Dead Island for its game play and freaking Looney Tunes for it's story.  This game's story is probably the most psychotic thing I've had to experience in the past 10 years. The gameplay is a tier above basic FPS, allowing you to use as many weapons as you can carry with 3 alternate special powers that try to work in tandem with one another. The games default difficulty could be hard enough to justify all that, I typically just used my best one and had so much ammo for every gun I settled for just blasting. My biggest gripe with this game overall was it's dialogue in English. Specifically in English, cause there are parts of this game where the translation feels like it was totally 1 to 1 with its original language, creating these very rushed feeling cut scenes with dialogue cutting itself off, almost as if 2 people couldn't talk at the same time. It was just awkward overall. As for the dialogue content, I think a lot of people will be split on this but the main character in English and some other characters are very colorful I'd say. A lot of what the main character says or does is very wacky and his glove companion don't really seem to mesh well with him. It's like if a high ranking officer in the military acted like a neurodivergent teen that watches My Little Pony on his adventures with his milquetoast robot butler. On the other hand, I think the main character made more fun, he's just largely immature. Also the PC version was insanely smooth for a Denuvo user, only thing that was suspicious was how long the loading elevators were. But I kept 144 in the open world very consistently with no stuttering. I even tried to get a whole village to attack me and it barely dropped.8/10 - Would let NORA kill me"
6,1,StormTigrex,https://steamcommunity.com/id/stormtigrex/,"1,650",58,1,30.1,Posted: 22 February,127,48,1,https://avatars.cloudflare.steamstatic.com/84386e8ba3a753c12878ff562fa1933815346cb7.jpg,The English voice-over WILL make you crispy cringe every time the protagonist speaks. Play in Russian with subs and you'll have a fantastic time.
7,1,Krasivo17,https://steamcommunity.com/id/Krasivo17/,"2,000",642,1,19.3,Posted: 7 March,197,14,1,https://avatars.cloudflare.steamstatic.com/4add5ba6c883e819243c7d56c49330e162b9af5d.jpg,Give us robot sex DLC
8,2,Prison Mike,https://steamcommunity.com/profiles/76561198004049333/,"1,402",415,1,9.6,Posted: 6 March,170,13,1,https://avatars.cloudflare.steamstatic.com/4de10645d04faf506fbfca59971208068f50b47c.jpg,"If you hate the english voice actor there's something you need to understand. You take this exact script and read it in english and think ""wow the lame protagonist is an insufferable jackass who swears every chance he gets and has the maturity of a 16 year old boy, how is he even in the military?""I get it, I see where you're coming from. It's jarring and removes you from the experience, kinda cringe too.Here's the fix for this exact problem. Go to the main menu and change the in game voice language to Russian. BOOM. The constant swearing is now perfectly acceptable because swearing at everything that moves and even completely inanimate objects that you dislike is an essential part of everyday Russian life. Whole game makes sense now, you're welcome. You may now experience an authentic story through the eyes of a true comrade."
9,2,Toxic Coffee,https://steamcommunity.com/id/toxic_coffee/,"7,000","2,691",1,33.9,Posted: 20 February,"1,204",162,1,https://avatars.cloudflare.steamstatic.com/0ebc9de4c280b4cd62c90b89c0c3491a5d6ec939.jpg,you can't skip the 6 hour sex cutscene with the androids
