,page_index,author,home_url,helpful,funny,appraise,played_hour,post_date,games,reply,image,image_link,review
0,1,Ankh,https://steamcommunity.com/id/sgtankh/,"1,130",952,1,72.3,"Posted: 8 March, 2020",266,0,1,https://avatars.cloudflare.steamstatic.com/2ef89c0e5546bf736d9c9f53a9da5d2b12a4cbf8.jpg,"Imagine being EA and screwing up SimCity so much, that someone in Finland got fed up and made a better game."
1,1,Tex52f65c,https://steamcommunity.com/id/tex52f65c/,972,30,1,"3,462.2","Posted: 2 January, 2019",143,0,1,https://avatars.cloudflare.steamstatic.com/99b5657acf66f1dc31b32e42ccfb0d455e91dea2.jpg,I like playing cities alot. I have Cerebral Palsy and use a HeadMouse to work the computer.  Its one of the few games that will work with my HeadMouse. Its hard finding games that I can play because I don't have use of my hands. I would recomme it to anyone with a disability.
2,1,Rocket,https://steamcommunity.com/id/rocketkiwi/,"2,800",90,1,128.6,"Posted: 10 March, 2015",255,51,1,https://avatars.cloudflare.steamstatic.com/cc3a60526b7a550aad652d5f835c6455ffa4dc47.jpg,"This is an outstanding game. This is an exceptionally outstanding citybuilder game, in a genre that for too long, has been deeply troubled with over-casualization, poor optimization, ill-thought out concepts, microtransactions, and general publisher shenangans.* Excellent Performance. I find that my city runs extremely well on my laptop even as it grows. I have not really noticed any dips in performance. The game seamlessly transitions between following an entity, and zooming out to broadly appreciate my traffic network.* Intuitive game mechanics. I was able to jump straight in and make assumptions about mechanics that made sense, and those were reflected in the game. As an example, I assumed people would use a variety of methods to get to work (hop on the metro, then take a bus), When I tracked people, they would do this.* Full Simulation. Things just make sense, you build a dam - the water level raises. People go to the store. People go to work. The water gets dirty from pollution. I get a sense that the city is a living and breathing entity - it gives me context to the experience.* Free, Focused Construction. You place roads and zones freely, focused around the placement of the roads. The zones are indelibly linked to this. It was a great design decision and simplifies the more annoying aspects of construction. It also makes the transport very obvious as one of the key aspects of the game.* The listed city population seems much lower than it should be. My city looks like it should be about 100,000 people, but the listed population is only 30,000. * Not enough snapping options. This makes it really hard to make your own cloverleaf in highways if you are particulary OCD about this kind of thing, it's almost impossible to make angles of a similar basis repeatedly.* The Metro + Bus placement lacks feedback and is difficult to expand once done. I feel that you are really fairly blindly approaching this, at least at the start. Over time I might grow to understand this more. Also the numbers don't often line up well. My metro station might say ""100 per week"" but in the overall transport graph only 20 people are said to be using the metro.If you like citybuilders, buy this game. Not since SimCity 4 Rush Hour have I enjoyed an experience this much. I find it hard to suggest major ways to improve the concept. I strongly dislike casual approaches to the genre, and this is not one of those. Yet I also think it makes the genre more accessible."
3,1,Umph,https://steamcommunity.com/id/umph/,"1,424",111,1,323.5,"Posted: 19 April, 2015",161,15,1,https://avatars.cloudflare.steamstatic.com/c238513d23b15dabe5444964b2f74bb7da66594a.jpg,"In 2013, after 10 years of waiting, the Sim City community of modders, fans, and aficionados rushed out to purchase the fifth installment of Sim City. Ten years is a long time to wait for a game, but people had a lot of faith in Maxis when they announced the title. Long story short, it was a massive dissapointment. Maxis and EA crippled Sim City 5 with DRM, Always On APM, tiny maps, forced origin installation, lacking mod support, no steam support, and a forced multiplayer aspect.  I decided to not purchase the title, so it may have been a decent game, but 2 years later a team of 12 people created a game that does everything maxis insisted was utterly and totaly impossible.  Everything the mod community did that kept Sim City 4 on the shelves in Wallmarts across America for an entire decade was ignored. Maxis (and to a lesser extent EA) ignored the fans, and gave the people who had kept them in business for twenty years a crippled subpar game.  And for that Maxis is now out of business. They will never make another game, and it is no one's fault but theirs.Now pretend none of that happened. It's 2013 again, and here it is people: Sim City 5. The game balance is a bit on the easy side for veterans of the genre, but the potential map size is ENOURMOUS and customizing your city could fill up years of gameplay time.  The game runs so smoothly with so much going on, it really shows how lazy Maxis was with their approach.  The glass in buildings reflects the sun and the buildings near it, there are dynamic shadows, zoning is back, and it is not 'dumbed down'.  A single tile in this game is twice the size of the alloted map in Sim City, and you can purchase dozens of additional tiles to expand.  The map editor is awesome, the community is thriving, there are mods to do anything you want, and this is the city building game we've all been waiting for.  I can not possibly reccomend this more."
4,1,Slyrae,https://steamcommunity.com/id/slyrae/,476,23,1,556.9,"Posted: 11 May, 2015",152,9,1,https://avatars.cloudflare.steamstatic.com/c1a5ec5bd8c816dfc3d7ac2847820413893cd09c.jpg,"This really is the greatest city simulator there is, and will be for quite a long time. I'm having trouble finding ANYthing wrong with this game. I've played most SimCity's, Anno 2070, Cities XL and almost fell for the Cities XXL nonsense. Then I found this game, and my life is complete.Some of the things worth noting:- The UI is simple but intuitive, it doesn't have that featureless feeling some of the plainer UI's have.- The game itself runs incredibly well, however you do need a good processor and a few GB of RAM to play it idealy.- Gameplay is silky smooth and addicting, no glitches or anything. There's even a little in-engine physics to things like cars, rivers and trees.- Road design is incredibly free and grid layouts are 100% accurate, unlike 2013's Simcity.- Full workshop and in-game modding support with an expanding community and many interesting items and maps to choose from, Copper Creek on the workshop is my favorite.- This list just goes on and on...The only thing I can really notice being undesirable (to a small extent, it's not really a big deal) are things like garbage and deathcare. They tend to get overwhelming and lots of weekly money needs to be spent to fix them. (When your landfills are full or more people are dying than you can transport to a cemetary kind of thing) I'd recommend finding something better on the workshop or using the asset editor to lower/raise some gampleay values in those buildings slightly.Just a fair little heads up to newcomers, your citizens in this game are born, age, and die eventually. Don't worry though, they'll be replaced by their children for the largest part. But there may be a point in the game where a lot of people suddenly die and it's a little scary. This is because of your senior citizens getting a little too old. if you know what I mean. Be sure to prepare for this if you find it to happen, I am not completely certtain if it's just that playrhrough of mine of if it's actually a phenomenon within the game.   :PTo sum it up and make it nice and short for you, this game really is a worthwhile investment and it honestly, coming from someone who's a dear city-builder fan, steps on all the other titles and I mean ALL of them. You'll love it.Find my review helpful? Have anything to say or any constructive criticism to give? No problem! Let me know!"
5,1,kybeau,https://steamcommunity.com/id/kybeau/,399,17,1,126.4,"Posted: 19 May, 2016",630,32,1,https://avatars.cloudflare.steamstatic.com/e2fd8a379dd6f1ca522088ea543dacb539889b92.jpg,"For 2 weeks I debated purchasing  (I'm sure I annoyed most of my friends by weighing the pros and cons with them!) Eventually I said, ""screw it"" and made the purchase: I have not regretted it since.In a nut shell,  is your basic city simulator. You start off with a blank landscape and a highway off to the side, of which is the key to growing your sprawling city. Sounds very simple, yes? Well, not quite. goes beyond just throwing houses and shops together. You're required to check pollutants in the form of ground and noise, dissiptating clogged roadways, providing entertainment, and so much more. Essentially, this game is everything that you could ever ask for in a simulator.+ Replayability value is here 100%+ Sound effects are great and very life-like+ The graphics, my oh my, the graphics - they are absolutely stunning; if you're able to play on high graphics, then go for it. The view is very rewarding and satisfying. Great job, !+ There is always something to look out for: budgeting, job and housing demands, etc. This game is definitely no joke. It demands your every attention and is not something you can just idle+ Related to the graphics point: I love how this game works so well on my non-gaming laptop. I have a Toshiba E45T which is not one by any means. This game is so well optimised, I can still enjoy it to its fullest though+ The ""basic"" version of  offers a lot at a decent price. If your budget is fairly tight, then disregard the  unless you really want 5 extra monuments (plus as a way to support the developer's further). You can always get the 5 extra monuments through the workshop± DLC's are a bit pricey and I'm not sure if it's really worth it. In the end, it's your call  : comes with some new lanes and a couple edicts, leisure and tourism specializations (night clubs, etc.), and extra buildings. Some people are noting that it comes with a night and day cycle, but I was experiencing the cycle without the DLC... maybe I'm just confusing something!: snow, obviously, hah! Also snowmaps, snowplows and snowpiles, more edicts and heating systems. : In my opinion, the DLC's are not worth it at their full price. Yes, they serve to enhance gameplay and also act as a way for you to support the developer's as well. With the little amount of content that both of them offer, however, and at $12+ price tags, I'd say your money would be better spent elsewhere. So, either wait until the DLC's are cheaper (I'd say under $8 would be more appropriate), avoid the DLC's completely, or just splurge because you want to. If you're an achievement hunter like me, then you'll need to purchase the DLC's. If budget is an issue, then I would suggest getting  first. It has been much more enjoyable due to it's far more superior offering of content. Quite frankly, I haven't even really played with  since it doesn't offer much beyond its name. It's completely up to you!- Realistic traffic please! (There is a mod for this though)- Can there be an undo button? It would be extremely helpful- Connecting roads can be a real hassle at times, especially when you're looking to upgrade them- Would be very useful if we could just upgrade buildings for a fee, such as the Cargo Harbour to Hub (without having to go through the process of destroying it first)All in all,  is honestly one of the best purchases I have ever made to date on Steam. I've already lost 22+ hours since my purchase 4 days ago, and it has left me impressed each time I've exited the game. If you're into simulators, I highly recommend this one - I hope it leaves as much of an impression on you as it has on me.With an abundance of content and a plethora of mods being developed (or already developed), you seriously can't go wrong with this title. Bravo,  and , bravo: thank you for this amazing game.9.5/10If you have any questions, please don't hesitate to ask - I will answer them to the best of my ability. On that note, cheers and happy building!: FREE STADIUM DLC! Thank you,  - this game just gets better and better. You never fail to impress with the amount of dedication and love you have for your game.1) Can this game be played offline (credits to ru): Yes, yes this game can be played offline! I've done around  7 hours of gameplay offline (due to power outages). That didn't stop me from getting on this game though!2) Does the game require a lot of attention (credits to ru): the great thing about this game is that, while it does require micromanagement, it doesn't necessarily need a lot. You can leave the game in order to run an errand if you choose. I've left it for around 10 minutes before - always came back to a 99% operational city (those dead bodies, yo. Keep piling up!)"
6,1,Howar31,https://steamcommunity.com/id/howar31/,505,19,1,44.3,"Posted: 31 March, 2015",790,1,1,https://avatars.cloudflare.steamstatic.com/06894d39da5b678930c94a06c9bbe0cdc9ba8f06.jpg,"This is definitely the SimCity successor.  Cities: Skylines is what SimCity 2013 should be.  Although the graphic is nice and the city scaling up through playing, the performance is still good and not laggy at all.  Cities: Skylines features lots of system (such and pollution, traffic, water, power, etc) and large maps (you may expand your city by buying the lands) and lots of building options, creating tons of fun while running a city!+Rich game contents.+Tons of city systems.  Including transport, pollution, water, power, entertainment, public service, etc.+6 types of zoning, such as residential, commercial, industrial, office, etc.+District planning tool, allow you to apply policies base on districts or city-wide.+5 different industry types: generic, forest, farming, oil, ore.+Buildings will level up with time.+Lots of traffic options, numerous types of road, public transport, cargo ships, trains, airplane, etc.+6 road level to build, you may create high complex road design, even helix-shaped road and more.+Environmental effect, pollution flow with river, the dam will affect the water level, polluted water will make citizens sick, etc.+Superb finance and tax system.+No laggy, even with a huge city you can still smoothly run your city.+Cinema camera mode, hide all UI and allow you to take splendid screenshots.+Offline gameplay, no need to connect to online server to build your cities.+Highly mod support through Steam Workshop, infinite gameplay possibility and extended experience. Edit 2015.09.02: We have this option built in-game now! Edit 2015.09.02: There's a DLC to patch this on 24th, Sep, 2015!-No first-person camera, but there's a mod to do this.-No random map, but there are tons of awesome maps in Steam Workshop.If you were a fan of SimCity, you must try Cities: Skylines.  This is ""the"" city simulation game you're dreaming of.  Highly recommended!這款遊戲是名符其實正統模擬城市繼承者， Cities: Skylines 做到了 2013年 SimCity 應該做到的樣子。遊戲畫面很棒，而且當城市擴建到大規模的時候，遊戲效能依然不受影響完全不會 lag 。 Cities: Skylines 包含大量的系統機制 (例如污染、交通、水利、電力等等) 以及超大地圖 (你可以將附近的土地買下來擴建城市) 還有超多的建築選項，讓你經營管理城市充滿無限樂趣！+豐富的遊戲內容+大量的城市系統，包含交通運輸、環境污染、水利管線、電力配線、娛樂福利、公共設施等等+6種不同的區域，例如居住區、商業區、工業區、辦公區等等+行政區劃分工具，可以讓你根據行政區施行不同的政策，或是實施全市政策+5種不同的工業類型：一般工業、淋業、農業、石油業、礦業+建築會隨著時間升級+豐富的交通選擇，多種道路類型、公共運輸、貨船客運船、火車、飛機等等+6種高度可建設道路，讓你可以設計非常複雜的道路系統，甚至可以蓋出螺旋狀的車道等等+環境影響效果，例如污染會隨河水漂到下游、水壩會影響上下游的水位高度、污染的水源會造成市民生病等等+優異的經濟與課稅系統+完全不會 lag ，儘管遊戲後期蓋出超大城市，仍然可以流暢的管理城市+電影式鏡頭選項，可以隱藏所有介面拍出漂亮的截圖+離線遊戲，不需要連線到網路伺服器就能蓋城市+高度模組支援與 Steam 工作坊支援，無限的遊戲可能與更多的遊戲體驗 編輯 2015.09.02: 現在遊戲內建這個選項了！ 編輯 2015.09.02: 在九月24日會有一個DLC補強這個功能！-沒有第一人稱鏡頭，但是有模組可以補強這點-沒有隨機地圖，但是 Steam 工作坊上有非常多超棒的地圖可以下載如果你是模擬城市類型粉絲，你一定要試試看 Cities: Skylines ，這就是你夢寐以求的模擬城市遊戲，非常推薦！"
7,1,TheLGR,https://steamcommunity.com/id/TheLGR/,338,26,1,184.8,"Posted: 11 March, 2015","1,756",7,1,https://avatars.cloudflare.steamstatic.com/4398e299a547597f475755d13d47b879830fbfe4.jpg,"This is a truncated version of this video review:If you’ve longed for another great city-builder like I have, or simply want to try one for the first time, I don’t hesitate at all in saying Cities Skylines is a superb choice.Skylines is a proper old school city-builder. As a SimCity player since the 1989 original, I was chomping at the bit to get my hands on this thing. I’ve spent about 40 hours on it so far, so the question is: does it succeed in its goal of topping SimCity? Well, in a word, YES.As is tradition, you start with a blank plot of land and a set of tools at your disposal. Generally the goal is to build a city, grow it as big as you like, and make sure it doesn’t die. You have a single highway connection to start out with, which acts as the first of many entrances to your city. Use the road tools to draw some roads, and you’ll see that you get groups of tiles extending from the side of them. These tiles can be filled with three types of zones: residential, commercial, and industrial, which will become homes, shops, and factories. Although more come into play later on, like high-density residential and commercial zones, as well as office zones, the central system of RCI demand is very much in play here. The more demand for a zone you have, the more people will move in to fill those zones and the more service buildings you'll require, so you’ll want to balance their placement with the other needs of the city. Beyond these basics, it’s totally up to you as to what’s next.And thankfully you’re not limited to your initial map size. That starting plot of land is 2 square kilometers, but once you start reaching its borders, you have the option to buy more, up to 36 square miles worth (more if you mod the game with the excellent tile mod on Steam.) Although, sometimes the game gets a bit bogged down in ambiguities regarding its logic, mostly regarding traffic, services, and lack of UI information. But once I started to figure these systems out, the challenge in fixing them was hugely rewarding. Cities XXL and SimCity 5 were entirely too easy, and if you screwed those cities up, that was a real feat of ineptitude. Here, a doomed city can arise from something as simple as building an intersection instead of a multi-lane traffic circle, and that’s kind of awesome. But it doesn't feel cheap, it feels like something to learn from and perform better next time. There are also some included mods from the developers, which act as cheats and difficulty settings in lieu of more traditional menu options. And on top of that there's an incredible potential for user-made mods, with a full blessing from the developer to do so with the included Steam Workshop support.Let me just say it: This is the game I’ve been craving since SimCity 4. My few complaints are just drops in a sea of truly satisfying gameplay. It’s the kind of game that I can play for so many hours at a time that when I leave, I start seeing zone layouts in my ceiling, and traffic patterns in my cereal. Just give me a pot of coffee and watch me while away dozens of hours creating the perfect balance of land value, city services, and mass transit systems and be completely content. It’s blissful, stressful, and compelling on a level that few games ever achieve for me anymore. There are so many details that I love, like the way you can paint zones with different brushes, the sweeping orchestral soundtrack, the guidelines that appear when placing roads, the fact you can flood your city if you dam a river improperly, the way any zone has buildings that fit into any plot shape, and on and on.And it runs great too, even when surpassing 100,000 citizens, it still played solidly with minimal frame rate issues on both my desktop and laptop. Colossal Order pulled off a true colossal order here: they made a better SimCity than Maxis could (requiescat in pace.) And all this with a comparatively small budget, a team of a dozen or so people, and the Unity Engine. Just... wow. Cities Skylines is a total slap in the face to SimCity 5, and man is it a beautiful thing to behold. And the price... you get twice the game at half the price of its rival's launch price. Folks, this is what I like to call “doing it right”. They could’ve charged double and I still would recommend it, but wow. This is a top-notch game at a bargain launch price, and it makes me want to cry tears of joy."
8,1,Doc Rock,https://steamcommunity.com/id/doc_rock2/,627,20,1,29.6,"Posted: 10 March, 2015",900,36,1,https://avatars.cloudflare.steamstatic.com/c471b4c0be354ca9a84990b683686599cd5f4b2c.jpg,"Its been a long time since a really good City Builder has been on the market so every time there is a whisper of a new one being developed, fans of the genre like myself become eager with anticipation. Unfortunately, we have been left wanting for nearly a decade. Yes, its been that long since a really decent sim has been released. Upon learning that one of my favorite publishers, Paradox Interactive, had a City Building simulation in the works I knew this was a game I could not wait to get my hands on. Paradox Interactive is known for being a leader in challenging and entertaining  strategic games so I felt if anybody could do it right, they could. Having been able to test the game for almost a full week before its official release I can say that my trust was not misplaced. Cities Skylines is everything I hoped it would be. This is city building done right.I have played most every City Building game ever made and consider myself somewhat of an expert in the genre. Perhaps I am over-critical at times when it comes to my favorite gaming genre but it comes from the desire to find the Holy Grail in city sims. I can honestly say, Cities Skylines is far and above, the best city building simulation ever made. Period. Colossal Order has come up with a recipe that ingenuously combines just the right amount of simplistic game design with a flavorful amount of challenging gameplay to create a masterpiece. Fans of City Building simulations will definitely not want to miss grabbing this game.There is a very realistic feel to this game. Its not just about throwing out color-coded building zones, but more about true city management. Do things right and your populus will be greatful and steadily grow. Do things poorly and your city will clear out faster than a zombie apocalypse could make it happen. Numerous tools are at your disposal as expected with an interesting dynamic that truly brings the realism into the game. Cities can be carved up into different districts and each district can have its own set of policies and characteristics. Players even choose the names. But it doesn't just stop there. Players can give custom names to just about everything in the game including its citizens. Transportation and pollution will be key challenges as with any game of this type. Having experience with previous endeavors like the Cities in Motion series, Colossal Order has easily found a way to challenge players along these lines. Cars and trains, ships and planes. Cities Skylines has it all. The water simulation is spectacular as well. Placing your sewage disposal upstream, for example, could result in contaminating your citizens' water supply. Realistic flooding is another possible scenario. The maps included are gigantic and beautifully designed terrains that offer endless possibilites when planning your city and continued population growth unlocks the ability to expand to adjacent tiles on the map as well as making more buildings and options available (such as taking out loans). These options are tied in with overall success and not just simply from having enough funds available, a feature which definitely enhances the experience.I could go on and on about all of the things I admire about this game. The graphics are solid but not overly done which allows for most systems to be able to run this game smoothly. The UI is easy to use and understand. The ""Chirper"" social media feature is a clever modern touch that keeps mayors abreast of public opinion and concerns. And, perhaps one of this game's best features is the inclusion of asset and map editting tools to allow the Steam Community to heavily mod this game in order to continue its growth and stability in the future while adding tons of extra content and replay value. In fact, about the only area I found lacking in this game is not having a variety of random events such as natural disasters. I cannot say with certainty why the developers chose not to include them and perhaps they will be added later as DLC since most Paradox Interactive games are known to offer quality additional content long after initial releases. The modding community could possibly offer them as well, since I predict the Steam Workshop will quickly fill up with a large variety of added content. Fires, floods, pollution, infrastructure and transportation issues are still more than enough to keep players challenged and fully engaged though, so overall its not really a major concern.Cities Skylines is the best City Building simulation developed in a long time and quite possibly the best ever. Expect this game to continue to grow in popularity and become the new industry standard for games of this type. An amazing game with well-designed features integrated into it for such a small development team and a limited budget. Its definitely worth the price and I highly recommend this game to all fans of simulated strategy/cty building games."
9,2,Lazerlightshow,https://steamcommunity.com/id/LazerLightshow/,727,65,1,404.2,"Posted: 3 November, 2015",416,11,1,https://avatars.cloudflare.steamstatic.com/d5ff90ae073ba5e89555debf1f6db98c589e0371.jpg,"Alright, let me start this off with this. If you already love city-builders, this is for you. If you don't already like city-builders, this is a great place to start!I personally love city-building games and I can't really believe that many of the things that they acomplished (either totally  or partially) were done. The traffic AI has been greatly improved since release.Pros:- CURVY ROADS- Adustable height of the roads allowing for customized interchanges- Renewable Energy is the main power source that you will use.- Train/Subway/Bus Routs are editable and can be color coordinated.- Cities grow based upon services and leisure and educated near them.- Mods, 74,000+ mods.- Intuituve Menu Layout- Great AI- Base Game is worth the priceCons: - DLC has too little content for too high a price.Yeah that's all the cons. If I had to I would give this game a very nice 93/100. It's got a lot of polish added to it and it's worth every cent you put into it. Buy this, you won't regret it at all."
