,page_index,author,home_url,helpful,funny,appraise,played_hour,post_date,games,reply,image,image_link,review
0,1,Coconut,https://steamcommunity.com/profiles/76561198361879476/,"1,799","1,244",1,45.2,"Posted: 9 April, 2021",331,49,1,https://avatars.cloudflare.steamstatic.com/83db1c4b4033be9e80bb2f8be57697285acde174.jpg,Made me kiss the homie goodnight +1
1,1,Em,https://steamcommunity.com/id/emlovesyou/,813,246,1,12.7,"Posted: 8 April, 2021",151,0,1,https://avatars.cloudflare.steamstatic.com/1191c81a57194f64acfcda94f0fd0cb94e92eff7.jpg,#JusticeForCutieTheElephant
2,1,CONSUME PRODUCT,https://steamcommunity.com/id/PDPHAN/,616,429,1,17.4,"Posted: 15 May, 2022",199,3,1,https://avatars.cloudflare.steamstatic.com/8d4c3cb1057972350c2878e24586cbbff0d0dd34.jpg,she cheated on me but it was still a great game
3,1,Lord Alexino,https://steamcommunity.com/id/lordalexino/,"1,370",160,1,20.6,"Posted: 9 January, 2022",520,0,1,https://avatars.cloudflare.steamstatic.com/39c19bcfefd6a7aa1397cae80836dca8d76ffae9.jpg,Started playing the game with my girlfriend and finished with my wife <3
4,1,Efilthy,https://steamcommunity.com/profiles/76561198056530763/,408,280,1,24.3,"Posted: 26 July, 2021",106,5,1,https://avatars.cloudflare.steamstatic.com/94cb488d96c4aa869f8d5aed4e4b46fb261197d6.jpg,''Sometimes you can find real treasures in the trash.''  - CodyA very accurate description about EA with this game.
5,1,ANDYROXUS,https://steamcommunity.com/id/ANDYROXUS/,672,365,1,24.6,"Posted: 7 February, 2022",520,0,1,https://avatars.cloudflare.steamstatic.com/6330c0531c83e7262767b52a29728f6801bcc289.jpg,'' Sometimes you can find real treasures in the trash '' - Cody A very accurate description about EA with this game.
6,1,Phawbtleb,https://steamcommunity.com/id/Tawbphleb/,475,188,1,12.7,"Posted: 6 April, 2021",130,4,1,https://avatars.cloudflare.steamstatic.com/6cb9c6421e88e981add988bb4c0235ed91c7d231.jpg,12 hours of couples therapy
7,1,PapaPupp,https://steamcommunity.com/id/papapupp/,756,9,1,24.2,"Posted: 28 March, 2021",282,24,1,https://avatars.cloudflare.steamstatic.com/0d4d30aab30d98d0dd13ac58c290798fff93508c.jpg,"After over 17 years with a Steam account I haven't felt the need to leave a review until now. My wife and I are about 4 hours in and this game has already totally blown us away. I honestly can't remember the last time a game made me smile and laugh this much while also being totally engrossed in the gameplay. The split screen takes a little getting used to at first and then you don't even notice it.Just an absolute joy to play and hands-down the best couch coop game I have played in about two and a half decades of PC gaming (yikes I'm getting old...).Buy it, you won't regret it! 10/10!!"
8,1,Kris.vdv,https://steamcommunity.com/id/krisvdv/,454,5,1,32.4,"Posted: 26 March, 2021",995,0,1,https://avatars.cloudflare.steamstatic.com/97ea1775d02d5a9f4a780f45ac7b737923cf735d.jpg,"Started playing this today with my daughter, we couldn’t stop and played for 3.5 hours straight. And then afterwards she couldn’t stop talking about it :). Only once every couple of years, a beautiful and brilliant story-driven couch co-op like this one is made. An instant classic."
9,2,xenoprobe,https://steamcommunity.com/id/xenoprobe/,428,16,1,21.8,"Posted: 5 April, 2021","2,530",0,1,https://avatars.cloudflare.steamstatic.com/9cc16049c0464e600d2b4317476b53d40f0ebe0d.jpg,"Best neglectful parent simulator, ever.I purchased this game specifically to play with my significant other. While we expected it to be good, It Takes Two, the sophomore effort from developer, Hazelight, impressed us so much, it is now the benchmark for which I will measure future co-op game experiences. We simply lost count of how many charming moments we encountered whilst playing.I could go on and on, but, the selling points of this game are best experienced for yourself.Each painstakingly detailed level in this title offers you unique gameplay mechanics that are never recycled. Communication and cooperation are a must, as well as decent twitch response reflexes. Various mini-games are scattered around the environment, and give you a slight reprieve from your main objective, only to get your competitive juices flowing. (sore losers need not apply!) Controls are tight and responsive, and the camera does a decent job of keeping track of the action. However, those who suffer from motion sickness may occasionally become disoriented or even nauseated due to the mandatory split screen. Overall, this is a very high quality, one of a kind experience that could only be produced as a labor of love. Pick this one up, play it with someone special, and let the hilarity ensue.Highly recommended."
