,page_index,author,home_url,helpful,funny,appraise,played_hour,post_date,games,reply,image,image_link,review
0,1,MadSin,https://steamcommunity.com/id/MadSin/,"10,549",90,1,20.9,"Posted: 5 April, 2022","1,545",165,1,https://avatars.cloudflare.steamstatic.com/b2cff527c2a8d46a0c710eeba0ac54bcc4d5fa37.jpg,"So if you are like me and you want to play as Mando with Baby Yoda in the actural Razor Crest you need a code and there is other Stuff unlockable with codes too, here is the list:    ARVALA7 - The Razor Crest ship    C3PHOHO - C-3PO (Holiday Special)    WOOKIEE - Chewbacca (Holiday Special)    TIPYIPS - D-O (Holiday Special)    WROSHYR - Darth Vader (Holiday Special)    LIFEDAY - Gonk Droid (Holiday Special)    KORDOKU - Poe Dameron (Holiday Special)    KH7P320 - Aayla Secura    XV4WND9 - Admiral Holdo    OKV7TLR - Dengar    SIDIOUS - The Emperor    WBFE4GO - Nute Gunray    Z55T8CQ - Poggle The Lesser    GR2VBXF - Ratts Tyerell     3FCPPVX - Tarkin    SKYSAGA - Temmin Wexley (listed as Snap Wexley for Lego Survey reward)    SHUTTLE - Resistance I-TS Transport shipThere are two locations within the game menus where you'll find a code entry screen, which will let you type in any of the Lego Star Wars The Skywalker Saga cheats listed above.    1. Open Holoprojector, move to Extras tab then follow Enter Code prompt.   2. Enter the Pause menu and select the key icon labelled Enter Code.If you enter the code correctly, you'll receive a notification to confirm it has been accepted and revealing what has been unlocked. As with previous games, you'll only need to enter each Lego Star Wars The Skywalker Saga cheat code once, which will permanently unlock the item or feature and, where applicable, the option to enable or disable it through the menu."
1,1,MisterDahkness,https://steamcommunity.com/profiles/76561199153478697/,"1,397",714,1,86.7,"Posted: 19 April, 2022",95,0,1,https://avatars.cloudflare.steamstatic.com/02f0d70cb99e2f122260ba9e8033aee6fec90929.jpg,It has a fully accessible jedi temple with younglings all over the place and dark side Anakin as a playable character. I couldn't possibly ask for anything more.
2,1,D4wn,https://steamcommunity.com/id/MatureContent/,"1,474",24,1,41.3,"Posted: 23 April, 2022","4,401",28,1,https://avatars.cloudflare.steamstatic.com/a92648527b4d90535391f2c8dd381ee41f309aa3.jpg,"Game is solid, but the fact that its 2022 and we still do not have online coop in lego games is a disappointment"
3,1,Scyrenus,https://steamcommunity.com/id/Scyrenus/,"2,345",990,1,24.7,"Posted: 8 April, 2022","3,666",71,1,https://avatars.cloudflare.steamstatic.com/6760192e30ca4c0257d74aecc3bf47c8d9d60e0c.jpg,You can kill younglings!!!Best Game!GOTY!10/10!
4,1,BRANDON1178,https://steamcommunity.com/profiles/76561199122198186/,"3,011","1,136",1,9.8,"Posted: 5 April, 2022",55,44,1,https://avatars.cloudflare.steamstatic.com/6ee2b77f5c79d32797c2910524431b93bdd3837c.jpg,Yoda has a fat a** in this game can confirm.
5,1,Zinc,https://steamcommunity.com/id/ZincCrossknee/,"2,357","1,079",1,18.3,"Posted: 6 April, 2022",762,17,1,https://avatars.cloudflare.steamstatic.com/f03ba97bb43ea924ea85c694584d444dcae86136.jpg,this game is what i imagine sex is like
6,1,44bucket,https://steamcommunity.com/id/b0tsyy/,"1,035",69,1,69.3,"Posted: 6 April, 2022",226,0,1,https://avatars.cloudflare.steamstatic.com/9335da98d2515fa754b3268afcff114e8d8a4ba4.jpg,my childhood remastered and now in 4K
7,1,Onyx,https://steamcommunity.com/profiles/76561198242197914/,"1,847",414,1,24.0,"Posted: 7 April, 2022",331,1,1,https://avatars.cloudflare.steamstatic.com/d3eb39d70f297a4191bea908797cd7972a77ad86.jpg,"It's not made by EA, 10/10"
8,2,Gralaer der Teetassenritter,https://steamcommunity.com/profiles/76561198065754924/,"4,005","1,535",1,75.0,"Posted: 6 April, 2022",480,68,1,https://avatars.cloudflare.steamstatic.com/361d01d604f59eff28cea679e6e2d26fc5ec3d2e.jpg,You can play as General GrievousYou can kill as General GrievousYou can run as General GrievousYou can jump as General GrievousYou can chill as General GrievousYou can be on Naboo as General Grievous (what was not even in the movies)You can kill Darth Vader as General GrievousYou can collect stuff as General GrievousYou can just stand still as General GrievousYou can kill General Grievous as General Grievous
9,2,The Queens Glaive,https://steamcommunity.com/id/VukasinDjordjevic/,393,6,1,17.2,"Posted: 7 April, 2022",677,1,1,https://avatars.cloudflare.steamstatic.com/7a98d429d9fb61bb6065773f2005fce7257463a8.jpg,Codes for this game:ARVALA7 - The Razor Crest shipC3PHOHO - C-3PO (Holiday Special)WOOKIEE - Chewbacca (Holiday Special)TIPYIPS - D-O (Holiday Special)WROSHYR - Darth Vader (Holiday Special)LIFEDAY - Gonk Droid (Holiday Special)KORDOKU - Poe Dameron (Holiday Special)KH7P320 - Aayla SecuraXV4WND9 - Admiral HoldoOKV7TLR - DengarSIDIOUS - The EmperorWBFE4GO - Nute GunrayZ55T8CQ - Poggle The LesserGR2VBXF - Ratts Tyerell3FCPPVX - TarkinSKYSAGA - Temmin Wexley (listed as Snap Wexley for Lego Survey reward)SHUTTLE - Resistance I-TS Transport ship
