,page_index,author,home_url,helpful,funny,appraise,played_hour,post_date,games,reply,image,image_link,review
0,1,Dugan,https://steamcommunity.com/profiles/76561198297337506/,115,182,1,19.7,"Posted: 25 June, 2019",144,0,1,https://avatars.cloudflare.steamstatic.com/c2c82dffe6fca892c2113cc28bdcab77f927f9bd.jpg,"Top 3 phrases you will say during this game:""MOVE OUT OF MY WAY""""I NEED A ♥♥♥♥♥♥♥ PLATE""""SOMEONE GET THE RICE!!!!!!!!!!""7.5/10 - Gordon Ramsay"
1,1,MariWanny,https://steamcommunity.com/profiles/76561198136462357/,116,135,1,12.5,Posted: 15 March,84,0,1,https://avatars.cloudflare.steamstatic.com/19e75e22c951409f4b732019f26e8ec9b83aeda9.jpg,This game is the reason why my last relationship fell apart. Hi Isaac. Please call me back.
2,1,GoldPro,https://steamcommunity.com/id/G0ld1/,129,220,1,114.8,"Posted: 17 April, 2019",91,0,1,https://avatars.cloudflare.steamstatic.com/80098e1e9ea828ce1826bcc85215e746a42e791c.jpg,Fun game to play with friends. Don't buy it if you don't have any
3,1,apshampa,https://steamcommunity.com/id/apshampa/,94,96,1,28.4,"Posted: 1 November, 2020",411,0,1,https://avatars.cloudflare.steamstatic.com/949faf9f664f1d164bf12d3dce92752432e2d5f2.jpg,Good game. BUT YOU NEED FRIENDS TO PLAY THIS. MAKE SURE YOU HAVE SOME BEFORE PURCHASING THE GAME.
4,1,SwattingLies,https://steamcommunity.com/id/KOutlook/,101,71,1,5.7,"Posted: 18 September, 2022",189,0,1,https://avatars.cloudflare.steamstatic.com/55d56761349db8c367321b35aaa90f817a193afe.jpg,Makes me yell at my daughter and yell harmful and potentially mentally devastating insults
5,1,Houtworm,https://steamcommunity.com/id/Houtworm91/,85,2,1,108.6,"Posted: 12 May, 2020","2,845",3,1,https://avatars.cloudflare.steamstatic.com/25e5827249485bcb26a75446da2ae84e80dd807f.jpg,"Overcooked 2 is an amazingly chaotic management game for up to 4 players, chop the ingredients and cook them as fast as possible for a nice tip, There are a ton of recipes and surprising kitchens.The story is set in The Onion Kingdom, The Onion King read from an old book and he summoned these undead loafs of bread called the Unbread, They are hungry and will consume the entire Kingdom if they are not fed in time. You play as one of the many available chefs and it is your job to feed the Unbread to save the world. The story plays out trough some dialogue from the king after certain stages, The story is nothing special, but it is a funny universe and it should give you a laugh or 2.The Onion king his dog and all playable characters are extremely likable, They don't say much but they all look very funny, If you are a shark a mouse or something way crazier, It will have a friendly face. The enemies are a little disturbing but also quite funny, Undead loafs of Bread, It probably won't give you or your children nightmares.The game is mostly focused on multiplayer, Every single gamemode can be played with up to 4 players, Online, Local but also a mix of the 2. You also can play it solo, But you will control 2 chefs and have to switch between them to manage the kitchen. it is still the same game, A very chaotic experience, Coordinating with yourself is harder than it sounds.There is the Story mode, which brings you to an overworld where you can launch levels, You start in 1-1 and before you can start 2-1 you have to visit the castle and talk to the Onion King. There are 6 worlds in the main campaign, and every world has 6 levels. There is a ton of DLC, some free and some paid which bring a bunch of new worlds, levels, chefs and recipes to the table. Only the host needs the DLCs, You can play along if you just own the game and are in a multiplayer game.In the main Story you can also switch gamemodes, From Story which is the default, Practice which disables timers and Survival in which served meals add time to the timer. Next to the main Story mode there is Arcade mode, Which is just a random level from the main Story or one of the DLCs, It is a nice thing if you completed every single level with 4 stars. Then there is a Versus mode, In which 2 kitchens have to fight it out, It is always 2 versus 2, But you can play 1 vs 1 too by controlling 2 chefs.The gameplay is extremely hectic, Raw ingredients need to be chopped, Cooked, Baked, Blended, Steamed. Grilled, and mostly they need multiple steps to prepare, Then you need to combine all the prepared ingredients on a plate and deliver it as fast as possible. There are more recipes than I can count, It starts easy, But things get complex pretty fast. Good teamwork is essential for getting all the stars.Next to the obvious cooking you also have to wash the plates, make sure nothing burns, deliver the orders on time and make sure you don't mess up the ingredients. If you mess up a recipe you can throw it away, If it burns you have to grab the fire extinguisher and put out the fire before it spreads.The levels are even crazier, There are kitchens with a road running trough it, People dancing in a Conga line, trough it, or even kitchens on a few floating rafts in the middle of a river. There are kitchens which have moving parts, switch positions, have portals, buttons and even cannons to reach out of reach platforms.The graphics are adorable, It is simple but charming, Things you can interact will stay the same and are marked clearly. The decor is ever changing, You go to all kinds of restaurants, Indoor, Outdoor, On a river or high in the sky. The Soundtrack is very cosy and uplifting, But it gets tenser inside the levels as they progress, especially the last 30 seconds. It is a very nice fit, and each theme has its own soundtrack. Together it creates a very nice atmosphere that is fun and suitable for all ages.The game runs fine, There are just 2 things that bother me, First the game Crashes on controller connect, Which is especially awful for a multiplayer game. And secondly the Steam Cloud save is not working. Other than that the game runs very well I get a very nice 200-300 fps. Not a single problem next to the 2 forementioned things. The worst thing is that these are a long standing problems. And there doesn't seem to be any interest in actually fixing it.After you complete the story and all the DLC with 3 stars you can fight it out in Versus mode where you have to compete together with someone or solo against another kitchen. There is also Arcade mode, This will just pick a random level from the Story and DLC. There is no random generation, A lot of DLC, but even after completing everything the game remains a lot of fun, The human factor is just so unpredictable and it causes some very chaotic and funny situations.The game is fun but frustrating, Crazy and Chaotic. Blame your friends for burning the burgers, not preparing the mushrooms and throwing sushi on the road. It is a great game and certainly worth your money, Just be sure to backup your save files."
6,1,oxgoad300,https://steamcommunity.com/profiles/76561198025663101/,95,47,1,7.5,"Posted: 1 March, 2022",143,0,1,https://avatars.cloudflare.steamstatic.com/08c756301fa2fa12c56c478f19c7b999f57ce0aa.jpg,The only game that my wife will play with me.
7,1,🧀 cheese 🧀,https://steamcommunity.com/id/cheesepills/,94,75,1,21.5,"Posted: 29 December, 2020",764,4,1,https://avatars.cloudflare.steamstatic.com/e8c7966f8b44884bf25b20195162f48d9eed9994.jpg,it made my girlfriend cry
8,2,Hyfrith,https://steamcommunity.com/id/hyfrith/,247,5,0,5.7,"Posted: 4 August, 2021",125,8,1,https://avatars.cloudflare.steamstatic.com/9f34163b9d1b066b014edb7ad620f35b84f25127.jpg,"An incredibly fun and frantic couch co-op experience. We simply connected a couple of old wired Xbox 360 controllers to my PC to play this game together in our house and it was a blast! It will test the strength of your relationships, haha.But why can't I recommend this any more? The developers released a compilation version of this game called All You Can eat which was Overcooked 1 and 2 in one bundle plus some extra features. Trouble is, they are continuing to release free content updates for that version of the game but aren't adding those updates to the base Overcooked 2 game!! So anyone who already owns 1 and 2 separately has to pay all over again for All You Can Eat if they want to receive further content updates.This is a despicable business tactic and shows real contempt for long time supporters and fans of this otherwise excellent franchise."
9,2,AngriffsBaum,https://steamcommunity.com/id/Baumos/,279,12,1,4.9,"Posted: 14 May, 2022",195,0,1,https://avatars.cloudflare.steamstatic.com/0c26289c216decfe662805bece5f153148d974d1.jpg,"I am a 45 yo father, probably one of the oldest people playing this game. I am a single farther to my Son, who is 14 now. My son got this game for Christmas from his uncle, so we installed it on his computer and he started playing. By the end of the week he had 24 hours on this game. This was horrible for me, as it was already hard for me to find ways to spend time with my son, as he is always out with his friends or just, watching YouTube. So i decided to make a Steam account and get this game to see if I could maybe play alongside him. loaded into the game, made my character and world and started playing but I was stuck on what you where supposed to do. I asked my Son for help and he hosted a game for me to join. loved it as it was the best time had spent with my Son since my wife had died. This game has ever since brought me and my son closer again and now we actually spend time together outside the house together as well. This game reminded me that there's fun to be had in everything, and it has brought both me and my Son many happy memories."
